Staircase.thisTrialN,Staircase.stepSize,Staircase.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,Staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,33.339098000200465,33.86346300016157,33.86346300016157,33.88437020010315,34.166596200084314,left,-10.0,1,1,2.184580700006336,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
1,1,1.0,36.07754710013978,36.57674579997547,36.57674579997547,36.593503900105134,36.8752505001612,right,1.0,0,0,0.4278568997979164,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
2,1,10.0,37.0254323000554,37.52364530018531,37.52364530018531,37.54058660008013,37.82320580002852,left,-10.0,0,0,0.8604816999286413,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
3,1,20.0,38.404357800027356,38.903322600061074,38.903322600061074,38.903322600061074,39.20242019998841,left,-20.0,1,1,0.3325006999075413,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
4,1,20.0,39.25223210011609,39.751079600071535,39.751079600071535,39.76825900003314,,right,20.0,0,0,0.11809919984079897,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
5,1,20.0,39.900382600026205,40.399701200192794,40.399701200192794,40.4156457001809,40.714859400177374,right,20.0,1,1,0.3846076000481844,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
6,1,20.0,40.8145230000373,41.3132232001517,41.3132232001517,41.3132232001517,41.61253960011527,left,-20.0,0,0,0.40845829993486404,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
7,1,20.0,41.74586460017599,42.24491300014779,42.24491300014779,42.27589280018583,,left,-20.0,1,1,0.2525037999730557,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
8,1,20.0,42.52729780017398,43.025321800028905,43.025321800028905,43.04228280019015,43.32482580002397,right,20.0,0,0,0.28942979988642037,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
9,1,20.0,43.34081310010515,43.83975220005959,43.83975220005959,43.85619610012509,44.138981900177896,right,20.0,1,1,0.6402980000711977,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
10,1,20.0,44.504797000205144,45.00421759998426,45.00421759998426,45.00421759998426,45.31939329998568,left,-20.0,1,1,0.5424145997967571,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
11,1,20.0,45.56907960004173,46.06765970005654,46.06765970005654,46.08400270016864,46.36672789999284,left,-20.0,0,0,1.4124504998326302,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
12,1,20.0,47.49622380011715,47.99523040000349,47.99523040000349,48.0121669000946,48.29459669999778,left,-20.0,0,0,0.9822851996868849,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
13,1,20.0,49.00904190004803,49.50787480012514,49.50787480012514,49.52400550013408,49.823480300139636,right,20.0,0,0,0.5457121997606009,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
14,1,20.0,50.07259220001288,50.57186390017159,50.57186390017159,50.58792110020295,50.88691470003687,left,-20.0,0,0,0.9260667997878045,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
15,1,20.0,51.51854520011693,52.017504000104964,52.017504000104964,52.017504000104964,52.31681270012632,right,20.0,0,0,0.8693857998587191,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
16,1,20.0,52.914716500090435,53.413407400017604,53.413407400017604,53.42994780000299,53.71272700000554,left,-20.0,0,0,0.7245404999703169,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
17,1,20.0,54.16153550008312,54.661048700101674,54.661048700101674,54.67669740016572,54.97587900003418,left,-20.0,1,1,1.2039992997888476,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
18,1,20.0,55.89050770015456,56.38886940013617,56.38886940013617,56.40513530001044,56.70477100019343,left,-20.0,1,1,0.9203322997782379,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
19,1,20.0,57.33589720004238,57.83526469999924,57.83526469999924,57.851888000033796,58.15031499997713,left,-20.0,1,1,0.7051205998286605,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
20,0.5,2.0,58.56636920012534,59.06464970018715,59.06464970018715,59.08185930014588,59.36366050015204,left,-2.0,0,0,0.9339451000560075,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
21,0.5,6.324555320336759,60.02899490017444,60.52784960018471,60.52784960018471,60.54444050020538,60.82619070005603,left,-6.324555320336759,0,0,0.7956939998548478,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
22,0.5,20.0,61.34179099998437,61.8403686999809,61.8403686999809,61.8403686999809,62.13937110011466,right,20.0,0,0,0.7133664998691529,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
23,0.5,20.0,62.57357960008085,63.070700500160456,63.070700500160456,63.08677440020256,63.36953690019436,right,20.0,0,0,0.6590225999243557,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
24,0.5,20.0,63.75211940007284,64.25101900007576,64.25101900007576,64.26716540008783,64.56644500000402,right,20.0,0,0,0.6286173998378217,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
25,0.5,20.0,64.89889130019583,65.39711640006863,65.39711640006863,65.41418820014223,65.69696360011585,right,20.0,0,0,0.6494578998535872,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
26,0.5,20.0,66.07863220013678,66.57751019997522,66.57751019997522,66.59381500002928,66.87636800017208,left,-20.0,0,0,0.7588199998717755,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
27,0.5,20.0,67.35858710017055,67.85733170015737,67.85733170015737,67.87403600011021,68.15667400020175,left,-20.0,0,0,0.7486862000077963,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
28,0.5,20.0,68.63826890010387,69.13684310019016,69.13684310019016,69.13684310019016,69.43608390004374,left,-20.0,0,0,1.5195535998791456,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
29,0.5,20.0,70.68294600001536,71.18136350018904,71.18136350018904,71.19835479999892,71.48061230010353,left,-20.0,0,0,0.5611869997810572,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
30,0.5,20.0,71.76307340012863,72.26267640013248,72.26267640013248,72.26267640013248,72.57780140009709,right,20.0,0,0,0.39644589996896684,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
31,0.5,20.0,72.67738800006919,73.17591220000759,73.17591220000759,73.19331930018961,73.47518090019003,right,20.0,0,0,0.3244776998180896,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
32,0.5,20.0,73.52497010002844,74.02401860011742,74.02401860011742,74.02401860011742,,right,20.0,1,1,0.2585374996997416,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
33,0.5,20.0,74.30621340009384,74.80480320006609,74.80480320006609,74.8213834001217,75.10406070016325,left,-20.0,0,0,0.7102332997601479,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
34,0.5,20.0,75.53660700004548,76.03480390016921,76.03480390016921,76.05181810003705,76.33443729998544,right,20.0,0,0,0.4843788999132812,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
35,0.5,20.0,76.55040250020102,77.04866970004514,77.04866970004514,77.06521710008383,77.34838880016468,right,20.0,0,0,0.9838958000764251,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
36,0.5,20.0,78.06267610006034,78.5611865001265,78.5611865001265,78.57783440011553,78.86074950010516,right,20.0,0,0,0.7761640998069197,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
37,0.5,20.0,79.35896960017271,79.85759970010258,79.85759970010258,79.87417359999381,80.15734410006553,right,20.0,0,0,0.7270958998706192,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
38,0.5,20.0,80.60588390007615,81.10475639998913,81.10475639998913,81.12101490003988,81.42013530014083,left,-20.0,0,0,0.5185983998235315,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
39,0.5,20.0,81.65258440002799,82.15152360009961,82.15152360009961,82.16788200009614,82.4674484001007,left,-20.0,0,0,0.5925205999519676,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
40,0.5,20.0,82.76620210008696,83.26539050019346,83.26539050019346,83.26539050019346,83.58066239999607,right,20.0,0,0,0.698872399982065,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
41,0.5,20.0,83.99661849997938,84.49541390012018,84.49541390012018,84.51140080019832,84.81137650017627,left,-20.0,0,0,0.46991149988025427,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
42,0.5,20.0,84.99354499997571,85.49217290012166,85.49217290012166,85.50916060013697,85.79229340003803,right,20.0,0,0,0.9373061996884644,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
43,0.5,20.0,86.45646870019846,86.95551800006069,86.95551800006069,86.97151350020431,87.2707538001705,right,20.0,0,0,0.9781619999557734,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
44,0.5,20.0,87.95243870001286,88.4514485001564,88.4514485001564,88.46793860010803,88.7665050001815,left,-20.0,0,0,0.4389664998743683,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
45,0.5,20.0,88.9162426001858,89.41502710012719,89.41502710012719,89.4314412001986,89.71407860005274,left,-20.0,0,0,0.3860917000565678,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
46,0.5,20.0,89.83038639998995,90.3293535001576,90.3293535001576,90.34602529997937,90.64521780004725,left,-20.0,1,1,0.9603096998762339,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
47,0.5,20.0,91.30969670019113,91.80842680018395,91.80842680018395,91.82515619997866,92.12387340003625,right,20.0,0,0,1.015512699726969,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
48,0.5,20.0,92.85616820002906,93.35398590005934,93.35398590005934,93.37065490009263,93.65309610008262,left,-20.0,0,0,0.6351017998531461,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
49,0.5,20.0,94.0187675000634,94.51786490017548,94.51786490017548,94.53442340018228,94.81664660014212,right,20.0,1,1,0.4478881999384612,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
50,0.5,20.0,94.98328240006231,95.48144800006412,95.48144800006412,95.49793480010703,95.78103470010683,right,20.0,0,0,0.838739899918437,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
51,0.5,20.0,96.34569220012054,96.84450540016405,96.84450540016405,96.86125090019777,97.14373890007846,left,-20.0,0,0,1.319597999798134,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
52,0.5,20.0,98.1906948001124,98.6892917000223,98.6892917000223,98.70616500009783,98.98869330016896,right,20.0,0,0,0.574951299931854,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
53,0.5,20.0,99.28762670001015,99.78649410000071,99.78649410000071,99.80323310010135,100.10222340002656,left,-20.0,0,0,0.787137899780646,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
54,0.5,20.0,100.60078750015236,101.09938060003333,101.09938060003333,101.11601130012423,101.398744400125,left,-20.0,0,0,0.7600743998773396,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
55,0.5,20.0,101.8807616000995,102.37962360004894,102.37962360004894,102.39640230010264,102.6949032000266,left,-20.0,1,1,1.430994699941948,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
56,0.5,20.0,103.8420290001668,104.34089600015432,104.34089600015432,104.34089600015432,104.63976779999211,right,20.0,0,0,0.7842873998451978,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
57,0.5,20.0,105.15501270000823,105.65363329998218,105.65363329998218,105.67021570005454,105.95270850020461,left,-20.0,0,0,0.6924486998468637,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
58,0.5,20.0,106.36869120015763,106.8676041001454,106.8676041001454,106.88363040005788,107.1829105000943,left,-20.0,0,0,0.6787917998153716,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
59,0.5,20.0,107.56497490010224,108.06370629998855,108.06370629998855,108.08020139997825,108.36287000006996,left,-20.0,1,1,0.8921008997131139,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
60,0.5,20.0,108.97792910016142,109.47646280005574,109.47646280005574,109.49308679997921,109.7757482000161,left,-20.0,0,0,0.7335383000317961,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
61,0.5,20.0,110.24107039999217,110.73975030006841,110.73975030006841,110.75615350017324,111.03927320009097,left,-20.0,1,1,0.39243689994327724,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
62,0.5,20.0,111.15513389999978,111.65388390002772,111.65388390002772,111.67043040017597,111.95312660001218,right,20.0,0,0,0.45869569992646575,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
63,0.5,20.0,112.13569830008782,112.63512980006635,112.63512980006635,112.63512980006635,112.95048300013877,right,20.0,0,0,0.329414599807933,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
64,0.5,20.0,112.98368970002048,113.48284499999136,113.48284499999136,113.48284499999136,113.79809960001148,left,-20.0,0,0,0.3976984997279942,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
65,0.5,20.0,113.89813109999523,114.39634490013123,114.39634490013123,114.41304740007035,114.69606610015035,right,20.0,1,1,0.47093969979323447,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
66,0.5,20.0,114.89553580014035,115.39357780013233,115.39357780013233,115.41015880019404,115.69277460011654,right,20.0,1,1,0.7131352997384965,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
67,0.5,20.0,116.12473020004109,116.6234518000856,116.6234518000856,116.6400874000974,116.92256180010736,left,-20.0,1,1,0.3807661999017,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
